Cognitive Distortion,Generative.Methods,Related Sentence,Generative.Model
해야 한다' 진술,추가,"[여자/17세]
---
수능까지 100일도 안 남았는데, 잠만 자고 공부는 안 해.  해야 할 공부는 산더미인데,  나는 잠만 더 자고 싶어.  게으른 내 자신이 너무 싫어.  이대로는 절대 안 돼.  하지만,  나는 잠들고 말았어.  망했어.  정말 나는 최악이야.
",Gemini
해야 한다' 진술,일반,"[남자/17]  
---  
점심시간, 친구들이 의사 얘기를 하며 저를 부르죠. 그들의 기대에 맞춰 웃으려 해도 마음이 허전해요. 정말 내가 되고 싶은 게 무엇인지 모르겠어요. 덤덤하게 지내는 우울한 기분이죠.",GPT
해야 한다' 진술,추가,"[여자/16세]  
---  
친구에게 '게임 중이면 연락 안 해도 된다'고는 했으나, 사실 자주 이야기해야 한다고 느껴요. 자꾸 안 부딪쳐서 관계가 멀어질까 걱정돼요. 결국 제가 잘못하고 있는 건 아닐까요?",GPT
해야 한다' 진술,일반,"[여자/15세]  
---  
학교에서 친한 친구와의 다툼이 반복돼요. 나만의 방식으로 우정을 지켜야 한다고 생각했지만, 친구는 그걸 부담스러워하는 것 같아요. 내가 뭘 잘못한 건지 모르겠고, 자꾸 불안해져요.",GPT
해야 한다' 진술,추가,"[여자/16세]
---
시험을 잘 치룰 수 있어야 합니다. 그렇지 않으면 실패자로 낙인찍힐 것 같습니다. 친구들이 저를 좋아해 주어야 하고, 언제나 활기차고 긍정적이어야 합니다. 하지만 때때로 저 자신을 실패자라고 생각하게 됩니다.",Claude
해야 한다' 진술,추가,"[여자/15]
---
나는 학교 방송반에 들어가야만 해.  아나운서가 되려면 반드시 경험을 쌓아야 하니까.  하지만 발표 연습은 너무 힘들고, 실수하면 모두에게 웃음거리가 될까 봐 두려워.  나는 완벽해야만 해.  그래야만 성공할 수 있으니까.  안 그러면 실패자야.
",Gemini
해야 한다' 진술,추가,"[남자/17세]
---
시험을 잘 봐야 한다는 생각에 밤새 공부했지만, 결과는 처참했다.  모든 걸 잘해야 한다는 강박에 시달린다.  결국, 나는 아무것도 할 수 없다는 생각에 잠 못 이루는 밤을 보냈다.  나는 실패자다.
",Gemini
해야 한다' 진술,추가,"[여자/17세]
---
아침에 일찍 일어나야 하는데 숙면을 취하지 못해 항상 피곤해야 해. 휴식을 취해야 하지만 스트레스로 불안해서 잠들기 힘들어. 선배들도 나처럼 어려움을 겪었겠지만 혼자서 이 모든 것을 해결해야 한다.",Claude
해야 한다' 진술,추가,"[여자/14]
---
내일 친구 만나야 해.  걔한테 내 진심을 보여줘야 해.  내가 꾸민 연극에 속을까?  내가 솔직해야 할까?  아니야,  계속 아픈 척해야 해.  내 진짜 모습을 보여주면 안 돼.  친구를 잃을까 봐 무서워.  착한 척해야 해.  계속 친구로 남아야 해.
",Gemini
해야 한다' 진술,추가,"[여자/17세]
---
동아리 면접을 봤다.  발표는 잘했지만,  모두의 기대에 부응해야 한다는 생각에 짓눌린다.  회장 언니 말처럼 뽑히지 못하면 나는 리더가 될 자격이 없는 사람일까?  모든 걸 완벽하게 해내야만 하는 건가?  내가 부족한 건 분명하다.  나는 더 잘해야만 해.
",Gemini
